Campo Alegre,Alagoas,57 997
Vargem Grande,Maranhão,57 813
Taquara,Rio Grande do Sul,57 740
Coruripe,Alagoas,57 647
Taquaritinga,São Paulo,57 547
Manicoré,Amazonas,57 405
Alenquer,Pará,57 390
Paudalho,Pernambuco,57 346
Andradina,São Paulo,57 245
Humaitá,Amazonas,57 195
Três Pontas,Minas Gerais,57 127
Capivari,São Paulo,56 973
Porto Ferreira,São Paulo,56 848
Pirapora,Minas Gerais,56 845
Mafra,Santa Catarina,56 825
Trairi,Ceará,56 653
São Francisco,Minas Gerais,56 625
Naviraí,Mato Grosso do Sul,56 484
Registro,São Paulo,56 463
Canguçu,Rio Grande do Sul,56 370
Artur Nogueira,São Paulo,56 247
Limoeiro,Pernambuco,56 149
Nova Andradina,Mato Grosso do Sul,56 057
Congonhas,Minas Gerais,55 836
Rolim de Moura,Rondônia,55 748
Acará,Pará,55 744
Piedade,São Paulo,55 731
Ibiporã,Paraná,55 688
Olímpia,São Paulo,55 477
São José do Rio Pardo,São Paulo,55 298
Catu,Bahia,55 222
Granja,Ceará,55 170
Eusébio,Ceará,55 035
Capão da Canoa,Rio Grande do Sul,55 009
Jaguaquara,Bahia,54 913
Araci,Bahia,54 903
São Francisco do Sul,Santa Catarina,54 751
Acopiara,Ceará,54 687
Boa Viagem,Ceará,54 680
Vigia,Pará,54 650
Canoinhas,Santa Catarina,54 558
Capitão Poço,Pará,54 545
Campo Belo,Minas Gerais,54 338
Beberibe,Ceará,54 315
Vargem Grande Paulista,São Paulo,54 315
Barra,Bahia,54 225
Videira,Santa Catarina,54 145
Ribeira do Pombal,Bahia,54 097
Marechal Cândido Rondon,Paraná,54 031
Porto Feliz,São Paulo,53 698
Santo Estêvão,Bahia,53 666
Inhumas,Goiás,53 655
Porto Nacional,Tocantins,53 618
Tramandaí,Rio Grande do Sul,53 507
Itapajé,Ceará,53 448
Itupiranga,Pará,53 439
Rondon do Pará,Pará,53 242
Lagoa da Prata,Minas Gerais,53 236
Paracambi,Rio de Janeiro,53 093
Itabirito,Minas Gerais,52 996
Sapé,Paraíba,52 977
Tobias Barreto,Sergipe,52 861
Viana,Maranhão,52 852
Marechal Deodoro,Alagoas,52 848
Prudentópolis,Paraná,52 776
São Joaquim da Barra,São Paulo,52 737
Campos do Jordão,São Paulo,52 713
Leopoldina,Minas Gerais,52 690
Timbaúba,Pernambuco,52 587
Paraíso do Tocantins,Tocantins,52 521
Palmas,Paraná,52 503
Delmiro Gouveia,Alagoas,52 501
Óbidos,Pará,52 473
Rurópolis,Pará,52 473
Laranjal do Jari,Amapá,52 302
Xanxerê,Santa Catarina,52 290
Guaxupé,Minas Gerais,52 234
Zé Doca,Maranhão,52 190
Jaraguá,Goiás,52 160
Alta Floresta,Mato Grosso,52 105
Rio Grande da Serra,São Paulo,52 009
Pontal,São Paulo,51 717
Brejo da Madre de Deus,Pernambuco,51 696
Jaru,Rondônia,51 469
Bom Despacho,Minas Gerais,51 436
Quirinópolis,Goiás,51 323
Estância Velha,Rio Grande do Sul,51 292
Caetité,Bahia,51 184
Cabreúva,São Paulo,51 130
Monte Alto,São Paulo,51 039
Louveira,São Paulo,51 007
Lago da Pedra,Maranhão,50 959
Tucano,Bahia,50 903
Itararé,São Paulo,50 778
Nova Venécia,Espírito Santo,50 751
Cerquilho,São Paulo,50 631
Bocaiuva,Minas Gerais,50 521
Macaúbas,Bahia,50 481
Brejo Santo,Ceará,50 195
Coelho Neto,Maranhão,49 804
Iranduba,Amazonas,49 718
Baião,Pará,49 454
São Gonçalo do Amarante,Ceará,49 306
Santiago,Rio Grande do Sul,49 298
Jales,São Paulo,49 291
Monte Santo,Bahia,49 145
Pacajá,Pará,49 110
Pedreira,São Paulo,48 992
Bom Conselho,Pernambuco,48 975
Maracaju,Mato Grosso do Sul,48 944
Lapa,Paraná,48 651
Mauriti,Ceará,48 370
São Benedito,Ceará,48 354
Presidente Dutra,Maranhão,48 264
Tremembé,São Paulo,48 228
Nova Mutum,Mato Grosso,48 222
Santa Cruz do Rio Pardo,São Paulo,48 207
Aquidauana,Mato Grosso do Sul,48 184
Conceição do Araguaia,Pará,48 115
Monte Carmelo,Minas Gerais,48 049
João Pinheiro,Minas Gerais,47 990
Diamantina,Minas Gerais,47 924
Santana do Ipanema,Alagoas,47 910
Cornélio Procópio,Paraná,47 840
Ribeirão,Pernambuco,47 813
Mairinque,São Paulo,47 723
Lábrea,Amazonas,47 685
Mata de São João,Bahia,47 643
Atalaia,Alagoas,47 540
Pederneiras,São Paulo,47 523
Barras,Piauí,47 298
Dracena,São Paulo,47 287
Sena Madureira,Acre,47 168
São Mateus do Sul,Paraná,47 137
Capão Bonito,São Paulo,47 098
Araioses,Maranhão,47 095
Toritama,Pernambuco,47 088
Niquelândia,Goiás,47 064
São Gabriel da Cachoeira,Amazonas,47 031
Morrinhos,Goiás,46 955
Campo Maior,Piauí,46 950
Medianeira,Paraná,46 940
Augusto Corrêa,Pará,46 937
Guajará-Mirim,Rondônia,46 930
Poções,Bahia,46 885
Sirinhaém,Pernambuco,46 845
Osório,Rio Grande do Sul,46 815
Guaramirim,Santa Catarina,46 757
Xique-Xique,Bahia,46 562
São Lourenço,Minas Gerais,46 539
Santo Antônio da Platina,Paraná,46 503
Laguna,Santa Catarina,46 424
Livramento de Nossa Senhora,Bahia,46 372
Santos Dumont,Minas Gerais,46 357
Salto de Pirapora,São Paulo,46 285
Goianira,Goiás,46 278
Paraguaçu Paulista,São Paulo,46 180
Serrana,São Paulo,46 166
Pontes e Lacerda,Mato Grosso,46 105
São Bento,Maranhão,45 989
Ipiaú,Bahia,45 969
Canela,Rio Grande do Sul,45 957
Mangaratiba,Rio de Janeiro,45 941
Porangatu,Goiás,45 866
Casimiro de Abreu,Rio de Janeiro,45 864
Imbituba,Santa Catarina,45 711
Timbó,Santa Catarina,45 703
Jardinópolis,São Paulo,45 544
Marau,Rio Grande do Sul,45 523
Xinguara,Pará,45 416
Uruará,Pará,45 395
Mamanguape,Paraíba,45 385
Caeté,Minas Gerais,45 364
Barra de São Francisco,Espírito Santo,45 301
Currais Novos,Rio Grande do Norte,45 022
Maragogipe,Bahia,44 902
Benjamin Constant,Amazonas,44 873
Paraíba do Sul,Rio de Janeiro,44 741
Orlândia,São Paulo,44 682
União,Piauí,44 649
Espírito Santo do Pinhal,São Paulo,44 607
Panambi,Rio Grande do Sul,44 583
Presidente Epitácio,São Paulo,44 572
Teotônio Vilela,Alagoas,44 570
São José de Mipibu,Rio Grande do Norte,44 566
Igarapé,Minas Gerais,44 561
São Sebastião do Passé,Bahia,44 554
Garça,São Paulo,44 429
Queimadas,Paraíba,44 388
Seabra,Bahia,44 370
Itaberaí,Goiás,44 329
Santa Rita do Sapucaí,Minas Gerais,44 226
Amontada,Ceará,44 195
Vera Cruz,Bahia,44 185
Paraty,Rio de Janeiro,44 175
Nova Viçosa,Bahia,44 170
Campina Grande do Sul,Paraná,44 072
Campo Verde,Mato Grosso,44 033
Águas Belas,Pernambuco,43 923
Mombaça,Ceará,43 917
Catende,Pernambuco,43 778
Tarauacá,Acre,43 730
Santa Quitéria,Ceará,43 719
Itápolis,São Paulo,43 536
